scan_cell_id,z,x0,y0,cell_tiles,bbox_wgs84,scope_unit_codes,scope_unit_count,coverage_status,coverage_attempt_count,coverage_checked_utc,coverage_note,last_run_id
OHG-Z17-X114808-Y51892,17,114808,51892,4,"[135.32958984375, 35.04798673426733, 135.340576171875, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-26T10:28:53Z,no_source=16/16,28232405644
OHG-Z17-X114812-Y51892,17,114812,51892,4,"[135.340576171875, 35.04798673426733, 135.3515625, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-26T10:29:00Z,no_source=16/16,28232405644
OHG-Z17-X114816-Y51892,17,114816,51892,4,"[135.3515625, 35.04798673426733, 135.362548828125, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-26T10:29:06Z,no_source=16/16,28232405644
OHG-Z17-X114820-Y51892,17,114820,51892,4,"[135.362548828125, 35.04798673426733, 135.37353515625, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-26T10:29:13Z,no_source=16/16,28232405644
OHG-Z17-X114824-Y51892,17,114824,51892,4,"[135.37353515625, 35.04798673426733, 135.384521484375, 35.05698043137264]",27322,1,no_source_coverage,1,2026-06-26T10:29:21Z,no_source=16/16,28232405644
OHG-Z17-X114804-Y51896,17,114804,51896,4,"[135.318603515625, 35.0389920467808, 135.32958984375, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-26T10:29:28Z,no_source=16/16,28232405644
OHG-Z17-X114808-Y51896,17,114808,51896,4,"[135.32958984375, 35.0389920467808, 135.340576171875, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-26T10:29:35Z,no_source=16/16,28232405644
OHG-Z17-X114812-Y51896,17,114812,51896,4,"[135.340576171875, 35.0389920467808, 135.3515625, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-26T10:29:42Z,no_source=16/16,28232405644
OHG-Z17-X114816-Y51896,17,114816,51896,4,"[135.3515625, 35.0389920467808, 135.362548828125, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-26T10:29:49Z,no_source=16/16,28232405644
OHG-Z17-X114820-Y51896,17,114820,51896,4,"[135.362548828125, 35.0389920467808, 135.37353515625, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-26T10:29:57Z,no_source=16/16,28232405644
OHG-Z17-X114824-Y51896,17,114824,51896,4,"[135.37353515625, 35.0389920467808, 135.384521484375, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-26T10:30:04Z,no_source=16/16,28232405644
OHG-Z17-X114828-Y51896,17,114828,51896,4,"[135.384521484375, 35.0389920467808, 135.3955078125, 35.04798673426733]",27322,1,no_source_coverage,1,2026-06-26T10:30:11Z,no_source=16/16,28232405644
OHG-Z17-X114804-Y51900,17,114804,51900,4,"[135.318603515625, 35.02999636902566, 135.32958984375, 35.0389920467808]",27322,1,no_source_coverage,1,2026-06-26T10:30:18Z,no_source=16/16,28232405644
OHG-Z17-X114808-Y51900,17,114808,51900,4,"[135.32958984375, 35.02999636902566, 135.340576171875, 35.0389920467808]",27322,1,no_source_coverage,1,2026-06-26T10:30:25Z,no_source=16/16,28232405644
OHG-Z17-X114812-Y51900,17,114812,51900,4,"[135.340576171875, 35.02999636902566, 135.3515625, 35.0389920467808]",27322,1,no_source_coverage,1,2026-06-26T10:30:33Z,no_source=16/16,28232405644
OHG-Z17-X114816-Y51900,17,114816,51900,4,"[135.3515625, 35.02999636902566, 135.362548828125, 35.0389920467808]",27322,1,no_source_coverage,1,2026-06-26T10:30:40Z,no_source=16/16,28232405644
OHG-Z17-X114820-Y51900,17,114820,51900,4,"[135.362548828125, 35.02999636902566, 135.37353515625, 35.0389920467808]",27322,1,no_source_coverage,1,2026-06-26T10:30:47Z,no_source=16/16,28232405644
OHG-Z17-X114824-Y51900,17,114824,51900,4,"[135.37353515625, 35.02999636902566, 135.384521484375, 35.0389920467808]",27322,1,no_source_coverage,1,2026-06-26T10:30:54Z,no_source=16/16,28232405644
OHG-Z17-X114828-Y51900,17,114828,51900,4,"[135.384521484375, 35.02999636902566, 135.3955078125, 35.0389920467808]",27322,1,no_source_coverage,1,2026-06-26T10:31:01Z,no_source=16/16,28232405644
OHG-Z17-X114804-Y51904,17,114804,51904,4,"[135.318603515625, 35.020999701114675, 135.32958984375, 35.02999636902566]",27322,1,no_source_coverage,1,2026-06-26T10:31:09Z,no_source=16/16,28232405644
OHG-Z17-X114808-Y51904,17,114808,51904,4,"[135.32958984375, 35.020999701114675, 135.340576171875, 35.02999636902566]",27322,1,no_source_coverage,1,2026-06-26T10:31:16Z,no_source=16/16,28232405644
OHG-Z17-X114812-Y51904,17,114812,51904,4,"[135.340576171875, 35.020999701114675, 135.3515625, 35.02999636902566]",27322,1,no_source_coverage,1,2026-06-26T10:31:23Z,no_source=16/16,28232405644
OHG-Z17-X114816-Y51904,17,114816,51904,4,"[135.3515625, 35.020999701114675, 135.362548828125, 35.02999636902566]",27322,1,no_source_coverage,1,2026-06-26T10:31:30Z,no_source=16/16,28232405644
OHG-Z17-X114820-Y51904,17,114820,51904,4,"[135.362548828125, 35.020999701114675, 135.37353515625, 35.02999636902566]",27322,1,no_source_coverage,1,2026-06-26T10:31:37Z,no_source=16/16,28232405644
OHG-Z17-X114824-Y51904,17,114824,51904,4,"[135.37353515625, 35.020999701114675, 135.384521484375, 35.02999636902566]",27322,1,no_source_coverage,1,2026-06-26T10:31:45Z,no_source=16/16,28232405644
OHG-Z17-X114828-Y51904,17,114828,51904,4,"[135.384521484375, 35.020999701114675, 135.3955078125, 35.02999636902566]",27322,1,no_source_coverage,1,2026-06-26T10:31:52Z,no_source=16/16,28232405644
OHG-Z17-X114808-Y51908,17,114808,51908,4,"[135.32958984375, 35.0120020431607, 135.340576171875, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:31:59Z,no_source=16/16,28232405644
OHG-Z17-X114812-Y51908,17,114812,51908,4,"[135.340576171875, 35.0120020431607, 135.3515625, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:32:06Z,no_source=16/16,28232405644
OHG-Z17-X114816-Y51908,17,114816,51908,4,"[135.3515625, 35.0120020431607, 135.362548828125, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:32:14Z,no_source=16/16,28232405644
OHG-Z17-X114820-Y51908,17,114820,51908,4,"[135.362548828125, 35.0120020431607, 135.37353515625, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:32:21Z,no_source=16/16,28232405644
OHG-Z17-X114824-Y51908,17,114824,51908,4,"[135.37353515625, 35.0120020431607, 135.384521484375, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:32:28Z,no_source=16/16,28232405644
OHG-Z17-X114828-Y51908,17,114828,51908,4,"[135.384521484375, 35.0120020431607, 135.3955078125, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:32:35Z,no_source=16/16,28232405644
OHG-Z17-X114832-Y51908,17,114832,51908,4,"[135.3955078125, 35.0120020431607, 135.406494140625, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:32:42Z,no_source=16/16,28232405644
OHG-Z17-X114836-Y51908,17,114836,51908,4,"[135.406494140625, 35.0120020431607, 135.41748046875, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:32:50Z,no_source=16/16,28232405644
OHG-Z17-X114840-Y51908,17,114840,51908,4,"[135.41748046875, 35.0120020431607, 135.428466796875, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:32:57Z,no_source=16/16,28232405644
OHG-Z17-X114844-Y51908,17,114844,51908,4,"[135.428466796875, 35.0120020431607, 135.439453125, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:33:04Z,no_source=16/16,28232405644
OHG-Z17-X114848-Y51908,17,114848,51908,4,"[135.439453125, 35.0120020431607, 135.450439453125, 35.020999701114675]",27322,1,no_source_coverage,1,2026-06-26T10:33:11Z,no_source=16/16,28232405644
OHG-Z17-X114812-Y51912,17,114812,51912,4,"[135.340576171875, 35.00300339527671, 135.3515625, 35.0120020431607]",27322,1,no_source_coverage,1,2026-06-26T10:33:18Z,no_source=16/16,28232405644
OHG-Z17-X114816-Y51912,17,114816,51912,4,"[135.3515625, 35.00300339527671, 135.362548828125, 35.0120020431607]",27322,1,no_source_coverage,1,2026-06-26T10:33:25Z,no_source=16/16,28232405644
OHG-Z17-X114820-Y51912,17,114820,51912,4,"[135.362548828125, 35.00300339527671, 135.37353515625, 35.0120020431607]",27322,1,no_source_coverage,1,2026-06-26T10:33:32Z,no_source=16/16,28232405644
OHG-Z17-X114824-Y51912,17,114824,51912,4,"[135.37353515625, 35.00300339527671, 135.384521484375, 35.0120020431607]",27322,1,no_source_coverage,1,2026-06-26T10:33:39Z,no_source=16/16,28232405644
OHG-Z17-X114828-Y51912,17,114828,51912,4,"[135.384521484375, 35.00300339527671, 135.3955078125, 35.0120020431607]",27322,1,no_source_coverage,1,2026-06-26T10:33:47Z,no_source=16/16,28232405644
OHG-Z17-X114832-Y51912,17,114832,51912,4,"[135.3955078125, 35.00300339527671, 135.406494140625, 35.0120020431607]",27322,1,no_source_coverage,1,2026-06-26T10:33:54Z,no_source=16/16,28232405644
OHG-Z17-X114836-Y51912,17,114836,51912,4,"[135.406494140625, 35.00300339527671, 135.41748046875, 35.0120020431607]",27322,1,no_source_coverage,1,2026-06-26T10:34:01Z,no_source=16/16,28232405644
OHG-Z17-X114840-Y51912,17,114840,51912,4,"[135.41748046875, 35.00300339527671, 135.428466796875, 35.0120020431607]",27322,1,no_source_coverage,1,2026-06-26T10:34:08Z,no_source=16/16,28232405644
OHG-Z17-X114844-Y51912,17,114844,51912,4,"[135.428466796875, 35.00300339527671, 135.439453125, 35.0120020431607]",27322,1,no_source_coverage,1,2026-06-26T10:34:15Z,no_source=16/16,28232405644
