event,block_id,grid_id,z,x,y,tile_url,local_relpath,tile_bbox_wgs84,request_status,image_sha256,http_status,attempt_utc,failure_reason,source_id,run_id
downloaded,SSM-B001,SSM-B001-G01,18,229749,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104184.png,raw_tiles/ort_riku10/z18/x229749_y104184.png,"135.512237549,34.604954262,135.513610840,34.606084592",downloaded,eb354ab07c2ea7fdc987abe5fd18ce9d625f0389e1ac96de6c8c339e40b8fe85,200,2026-06-25T12:31:11Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G01,18,229750,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104184.png,raw_tiles/ort_riku10/z18/x229750_y104184.png,"135.513610840,34.604954262,135.514984131,34.606084592",downloaded,e39f18fa038950d179400c66cfbc381ffa417f8962fd954c196aba3aeac4b3d2,200,2026-06-25T12:31:13Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G01,18,229751,104184,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104184.png,raw_tiles/ort_riku10/z18/x229751_y104184.png,"135.514984131,34.604954262,135.516357422,34.606084592",downloaded,9a6030685986d3e33e96d832499fb0f3d3fd813d3fd42ee81e4f03d931377a22,200,2026-06-25T12:31:14Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G01,18,229749,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104185.png,raw_tiles/ort_riku10/z18/x229749_y104185.png,"135.512237549,34.603823915,135.513610840,34.604954262",downloaded,5ec41b7d2357d1f5e19431cd09431b3597c9e0c23c7c718e7a80eb6aca47600f,200,2026-06-25T12:31:15Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G01,18,229750,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104185.png,raw_tiles/ort_riku10/z18/x229750_y104185.png,"135.513610840,34.603823915,135.514984131,34.604954262",downloaded,d7e240a3a1d8701ec86f0dcabc8c53d30ce6da7b4e80b13ffe48da3ed37689cc,200,2026-06-25T12:31:16Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G01,18,229751,104185,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104185.png,raw_tiles/ort_riku10/z18/x229751_y104185.png,"135.514984131,34.603823915,135.516357422,34.604954262",downloaded,965a8df8ca8a78a438dab7b8c5f34a7e3fd355891ad3d563b10dc1d6448561ef,200,2026-06-25T12:31:17Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G01,18,229749,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104186.png,raw_tiles/ort_riku10/z18/x229749_y104186.png,"135.512237549,34.602693554,135.513610840,34.603823915",downloaded,9fcb01dba71fe379b7a0e655296eba3e32c9fb8a534821450b79bfc9ef51f278,200,2026-06-25T12:31:18Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G01,18,229750,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104186.png,raw_tiles/ort_riku10/z18/x229750_y104186.png,"135.513610840,34.602693554,135.514984131,34.603823915",downloaded,b12337d0469b0c36dd7139e23e45b142cbea73e0d1ab7ce6c4323a67f9995e37,200,2026-06-25T12:31:19Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G01,18,229751,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104186.png,raw_tiles/ort_riku10/z18/x229751_y104186.png,"135.514984131,34.602693554,135.516357422,34.603823915",downloaded,22ef2a8aacef28fb80b9ed2e5753903e8fd1fbc27c0cb1b105884c74e30dd9b7,200,2026-06-25T12:31:20Z,,S007,SSM-T01A
cache_hit,SSM-B001,SSM-B001-G04,18,229749,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104186.png,raw_tiles/ort_riku10/z18/x229749_y104186.png,"135.512237549,34.602693554,135.513610840,34.603823915",cached,9fcb01dba71fe379b7a0e655296eba3e32c9fb8a534821450b79bfc9ef51f278,200_cached,2026-06-25T12:31:20Z,,S007,SSM-T01A
cache_hit,SSM-B001,SSM-B001-G04,18,229750,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104186.png,raw_tiles/ort_riku10/z18/x229750_y104186.png,"135.513610840,34.602693554,135.514984131,34.603823915",cached,b12337d0469b0c36dd7139e23e45b142cbea73e0d1ab7ce6c4323a67f9995e37,200_cached,2026-06-25T12:31:20Z,,S007,SSM-T01A
cache_hit,SSM-B001,SSM-B001-G04,18,229751,104186,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104186.png,raw_tiles/ort_riku10/z18/x229751_y104186.png,"135.514984131,34.602693554,135.516357422,34.603823915",cached,22ef2a8aacef28fb80b9ed2e5753903e8fd1fbc27c0cb1b105884c74e30dd9b7,200_cached,2026-06-25T12:31:20Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G04,18,229749,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104187.png,raw_tiles/ort_riku10/z18/x229749_y104187.png,"135.512237549,34.601563177,135.513610840,34.602693554",downloaded,15a67838e3177fb76eb89573d4c8c02bc35db9c0e5f62bd79b3d481b4b339e3a,200,2026-06-25T12:31:21Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G04,18,229750,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104187.png,raw_tiles/ort_riku10/z18/x229750_y104187.png,"135.513610840,34.601563177,135.514984131,34.602693554",downloaded,c15ad22e4a86bd529f3b8ff3e7d2ea58b4ab98c5abfb582720aa8ce2cf8ca47f,200,2026-06-25T12:31:22Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G04,18,229751,104187,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104187.png,raw_tiles/ort_riku10/z18/x229751_y104187.png,"135.514984131,34.601563177,135.516357422,34.602693554",downloaded,7ca04e40270247bd4762b27ae8b14f55b83cea42f5d3610be53d23d82741ff9a,200,2026-06-25T12:31:23Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G04,18,229749,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229749/104188.png,raw_tiles/ort_riku10/z18/x229749_y104188.png,"135.512237549,34.600432785,135.513610840,34.601563177",downloaded,1b86dd15f7ab455c98665d1aca88afa5eb85eed7a0d94c08843e881447757042,200,2026-06-25T12:31:24Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G04,18,229750,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229750/104188.png,raw_tiles/ort_riku10/z18/x229750_y104188.png,"135.513610840,34.600432785,135.514984131,34.601563177",downloaded,898733fe2c870a0353c3644b72f987dc341c21f87558cc32159a0dfedd1159f0,200,2026-06-25T12:31:25Z,,S007,SSM-T01A
downloaded,SSM-B001,SSM-B001-G04,18,229751,104188,https://cyberjapandata.gsi.go.jp/xyz/ort_riku10/18/229751/104188.png,raw_tiles/ort_riku10/z18/x229751_y104188.png,"135.514984131,34.600432785,135.516357422,34.601563177",downloaded,28859559b66863a90b9e58f2dfde6a05a81adbfaa2041bf48c2ce2d53cdea898,200,2026-06-25T12:31:26Z,,S007,SSM-T01A
